class,knowledge_questions,generated_knowledge,vlm_reasoning_questions
cytokeratin 7,"[""What are the superclasses of cytokeratin 7 in a protein ontology?"", ""Which cell types express cytokeratin 7?"", ""What structural features characterize cytokeratin 7?"", ""What biological functions does cytokeratin 7 perform in cells?"", ""What interactions occur between cytokeratin 7 and other cellular components?"", ""What data properties describe cytokeratin 7, such as its molecular weight?"", ""What axioms define the role of cytokeratin 7 in cell adhesion?"", ""How is cytokeratin 7 involved in epithelial cell differentiation?""]","[""Cytokeratin 7 is classified under the superclasses [Intermediate Filament Protein, Cytoskeletal Component]."", ""Cytokeratin 7 is expressed in cell types including [Epithelial Cells, Endothelial Cells]."", ""Cytokeratin 7 is characterized by structural features such as [Coiled Coil Domain, Filamentous Structure]."", ""Cytokeratin 7 performs biological functions including [Cell Adhesion, Mechanical Stability, Cell Signaling]."", ""Cytokeratin 7 interacts with cellular components such as [Desmosomes, Keratin Filaments, Actin Cytoskeleton]."", ""Descriptive properties of cytokeratin 7 include [Molecular Weight, Isoforms, Filament Assembly]."", ""Axioms defining the role of cytokeratin 7 include [Cell Adhesion Regulation, Epithelial Barrier Formation, Tissue Integrity]."", ""Cytokeratin 7 is involved in epithelial cell differentiation through [Regulation of Cell Proliferation, Maintenance of Tissue Architecture].""]","[""Is there an object in the image that is a component of the cytoskeleton?"", ""Does the image contain a structure that provides mechanical stability to cells?"", ""Is there something in the image that is involved in cell adhesion?"", ""Is the object classified as an intermediate filament protein?"", ""Does the image contain a cell type that expresses this protein?""]"
cytomegalovirus,"[""What are the superclasses of cytomegalovirus in a viral ontology?"", ""Which cellular components does cytomegalovirus interact with during infection?"", ""What are the primary functions or effects of cytomegalovirus on infected cells?"", ""How does cytomegalovirus replicate within host cells?"", ""What are the known drug targets for treating cytomegalovirus infection?"", ""What are the consequences or outcomes of cytomegalovirus infection in different organ systems?"", ""What are the specific molecular mechanisms of cytomegalovirus pathogenesis?"", ""How does the immune system respond to cytomegalovirus infection?"", ""What are the known epidemiological characteristics or patterns of cytomegalovirus transmission?""]","[""cytomegalovirus is classified under the superclasses [Herpesvirus, Betaherpesvirinae]."", ""During infection, cytomegalovirus interacts with cellular components such as [Cell Membranes, Nuclei, Endoplasmic Reticulum]."", ""The primary functions or effects of cytomegalovirus on infected cells include [Replication, Disruption of Cellular Processes, Modulation of Immune Responses]."", ""cytomegalovirus replicates within host cells through mechanisms involving [Viral DNA Replication, Protein Synthesis, Assembly of Viral Particles]."", ""Known drug targets for treating cytomegalovirus infection include [DNA Polymerase, Protease, Viral Entry Inhibitors]."", ""Consequences or outcomes of cytomegalovirus infection in different organ systems include [Hepatitis, Pneumonia, Retinitis]."", ""Specific molecular mechanisms of cytomegalovirus pathogenesis involve [Modulation of Host Immune Response, Induction of Inflammation, Disruption of Cellular Signaling Pathways]."", ""The immune system responds to cytomegalovirus infection through mechanisms such as [Antibody Production, Cytotoxic T Cell Response, Innate Immune Activation]."", ""Epidemiological characteristics or patterns of cytomegalovirus transmission include [Congenital Transmission, Horizontal Transmission via Bodily Fluids, Reactivation in Immunocompromised Individuals].""]","[""Is there an object in the image that replicates within host cells through mechanisms involving viral DNA replication and protein synthesis?"", ""Does the image contain a structure that disrupts cellular processes and modulates immune responses?"", ""Is there something in the image that targets DNA polymerase for treatment?"", ""Is the object responsible for hepatitis, pneumonia, and retinitis?"", ""Does the image contain a mechanism that modulates the host immune response, induces inflammation, and disrupts cellular signaling pathways?"", ""Is there an object in the image that triggers antibody production, cytotoxic T cell response, and innate immune activation?"", ""Does the image contain a pattern of congenital transmission, horizontal transmission via bodily fluids, and reactivation in immunocompromised individuals?""]"
cytomegalovirusis cytomegalovirus,"[""What are the superclasses of Cytomegalovirus in a viral taxonomy?"", ""Which host cells can Cytomegalovirus infect?"", ""What are the viral components or structural proteins of Cytomegalovirus?"", ""How does Cytomegalovirus replicate within host cells?"", ""What are the clinical manifestations or symptoms of Cytomegalovirus infection?"", ""What antiviral medications target Cytomegalovirus?"", ""What is the prevalence or incidence rate of Cytomegalovirus infections?"", ""How is Cytomegalovirus transmitted from one host to another?"", ""What are the risk factors or susceptibility factors for Cytomegalovirus infection?""]","[""Cytomegalovirus is classified under the superclasses [Herpesviridae, Betaherpesvirinae]."", ""Cytomegalovirus can infect host cells such as [Fibroblasts, Epithelial Cells, Endothelial Cells]."", ""The viral components or structural proteins of Cytomegalovirus include [Envelope Proteins, Matrix Proteins, Capsid Proteins]."", ""Cytomegalovirus replicates within host cells by utilizing cellular machinery for viral DNA replication and protein synthesis."", ""Clinical manifestations of Cytomegalovirus infection can range from asymptomatic to symptoms such as [Fatigue, Fever, Muscle Pain]."", ""Antiviral medications that target Cytomegalovirus include [Ganciclovir, Valganciclovir, Foscarnet]."", ""The prevalence or incidence rate of Cytomegalovirus infections varies among different populations and regions."", ""Cytomegalovirus can be transmitted from one host to another through various routes including [Saliva, Urine, Blood Transfusion]."", ""Risk factors or susceptibility factors for Cytomegalovirus infection include [Immunocompromised State, Pregnancy, Organ Transplant].""]","[""Is there an object in the image that is part of the Herpesviridae family?"", ""Does the image contain a virus that can infect epithelial cells?"", ""Is there something in the image with envelope proteins as part of its structure?"", ""Does the object utilize host cell machinery for DNA replication?"", ""Is the object responsible for symptoms such as fatigue and fever?"", ""Does the image contain a virus that can be targeted by antiviral medications like ganciclovir?"", ""Is the object known to have a varying prevalence rate among different populations?"", ""Does the image contain a virus that can be transmitted through saliva?"", ""Is the object more likely to infect individuals who are immunocompromised?""]"
cytoplasm,"[""What are the superclasses of cytoplasm in a cellular hierarchy?"", ""What cellular components or organelles are found within the cytoplasm?"", ""Which biological functions or processes occur in the cytoplasm?"", ""What structural features characterize the cytoplasm\u2019s organization?"", ""Which molecules or substances are typically present in the cytoplasm?"", ""What data properties describe the cytoplasm, for example, its viscosity or pH level?"", ""What axioms define the cytoplasm\u2019s role in cellular activities?""]","[""The cytoplasm is classified under the superclasses [Cellular Component, Intracellular Space]."", ""The cytoplasm contains various organelles such as [Mitochondria, Endoplasmic Reticulum, Golgi Apparatus]."", ""The cytoplasm is involved in biological functions including [Protein Synthesis, Metabolism Regulation, Cell Division]."", ""The cytoplasm is characterized by structural features like [Network of Microtubules, Cytoskeleton]."", ""The cytoplasm typically houses molecules such as [Proteins, Sugars, Lipids]."", ""Descriptive properties of the cytoplasm include [Viscosity, pH Level, Temperature]."", ""Axioms that define the cytoplasm include roles in [Cellular Signaling, Nutrient Storage, Waste Disposal].""]","[""Is there an object in the image that contains organelles?"", ""Does the image contain a structure involved in protein synthesis?"", ""Is there something in the image that regulates cell division?"", ""Is the object a part of the endocrine system?"", ""Does the image contain a component of the cellular membrane?""]"
deep,"[""What are the superclasses of 'deep' in an anatomical hierarchy?"", ""What types of anatomical structures or regions are characterized as 'deep'?"", ""What spatial relationships exist between 'deep' structures and other anatomical entities?"", ""What functions or roles are typically attributed to 'deep' anatomical structures?"", ""What are the developmental or evolutionary origins of 'deep' structures?"", ""How do 'deep' structures vary across different species or organisms?""]","[""The superclasses of 'deep' in an anatomical hierarchy include [Spatial Term, Anatomical Location]."", ""Anatomical structures or regions characterized as 'deep' include [Bones, Muscles, Viscera]."", ""Deep structures maintain spatial relationships such as [Proximal, Distal, Medial, Lateral] with other anatomical entities."", ""Functions or roles attributed to 'deep' anatomical structures include [Support, Movement, Protection, Secretion]."", ""The developmental or evolutionary origins of 'deep' structures can be traced back to [Embryonic Development, Evolutionary Adaptations]."", ""Deep structures vary across different species or organisms in terms of [Size, Shape, Complexity, Specialization].""]","[""Is there an object in the image that is part of the skeletal system?"", ""Does the image contain a structure that is involved in digestion?"", ""Is there something in the image that is closer to the center of the body?"", ""Is the object responsible for producing hormones?"", ""Does the image contain a structure that provides structural support?""]"
disease,"[""What are the superclasses of Disease in a medical hierarchy?"", ""Which organ systems or bodily structures are affected by the Disease?"", ""What pathological processes or mechanisms contribute to the development of the Disease?"", ""What are the common symptoms or manifestations associated with the Disease?"", ""What diagnostic methods or tests are used to identify the Disease?"", ""What treatment options or therapies are available for managing the Disease?"", ""What is the etiology or cause of the Disease?"", ""How does the Disease progress or evolve over time?"", ""What complications or comorbidities can arise from the Disease?"", ""What preventive measures can be taken to reduce the risk of developing the Disease?""]","[""The superclasses of Disease in a medical hierarchy include [Condition, Disorder]."", ""Disease can affect various organ systems or structures including [Respiratory System, Cardiovascular System, Nervous System]."", ""Pathological processes contributing to the development of Disease include [Inflammation, Cell Degeneration, Neoplasia]."", ""Common symptoms or manifestations of Disease can include [Fatigue, Pain, Fever]."", ""Diagnostic methods for identifying Disease may include [Imaging Techniques, Laboratory Tests, Biopsy]."", ""Treatment options or therapies for managing Disease can include [Medications, Surgery, Rehabilitation]."", ""The etiology or cause of Disease can vary and may include [Infection, Genetics, Environmental Factors]."", ""Disease progression or evolution can be [Acute, Chronic, Recurrent]."", ""Complications or comorbidities arising from Disease can include [Organ Failure, Secondary Infections, Psychological Impact]."", ""Preventive measures to reduce the risk of developing Disease can include [Vaccination, Healthy Lifestyle Choices, Regular Screening].""]","[""Is there something in the image that may indicate a condition affecting the respiratory system?"", ""Does the image contain an example of cell degeneration leading to a disease?"", ""Is there an object in the image that represents a disorder of the nervous system?"", ""Does the image show a treatment option for managing a disease?"", ""Is there something in the image that suggests a disease with symptoms of fatigue and fever?""]"
diseaseis whipples,"[""What are the superclasses of Whipple's Disease in a disease ontology?"", ""What symptoms or manifestations characterize Whipple's Disease?"", ""In which organ systems or tissues is Whipple's Disease primarily located?"", ""What are the known causes or risk factors of Whipple's Disease?"", ""What is the pathophysiology of Whipple's Disease?"", ""What are the treatment options available for Whipple's Disease?"", ""How is Whipple's Disease diagnosed?"", ""What are the possible complications of Whipple's Disease?"", ""What genetic or molecular factors contribute to the development of Whipple's Disease?""]","[""The superclasses of Whipple's Disease include [Infectious Disease, Gastrointestinal Disorder]."", ""Whipple's Disease is characterized by symptoms such as [Malabsorption, Weight Loss, Diarrhea]."", ""Whipple's Disease primarily affects the [Small Intestine, Lymph Nodes]."", ""The known causes or risk factors of Whipple's Disease include [Tropheryma whipplei Infection, Immune Dysfunction]."", ""The pathophysiology of Whipple's Disease involves [Macrophage Dysfunction, Intestinal Villous Atrophy]."", ""Treatment options for Whipple's Disease include [Antibiotics, Nutritional Support]."", ""Diagnosis of Whipple's Disease is typically done through [Biopsy, PCR Testing]."", ""Possible complications of Whipple's Disease include [Malnutrition, Cardiac Abnormalities, Neurological Manifestations]."", ""Genetic factors contributing to Whipple's Disease are not well understood, but it may involve [Impaired Immune Response, Genetic Predisposition].""]","[""Does the image depict a condition caused by an infectious agent?"", ""Is there an object in the image related to a disorder of the digestive system?"", ""Does the image show symptoms of malabsorption and weight loss?"", ""Is the object primarily affecting the small intestine?"", ""Does the image indicate a disease caused by immune dysfunction?"", ""Is there something in the image showing macrophage dysfunction?"", ""Does the image suggest a treatment involving antibiotics?"", ""Is the object diagnosed through biopsy or PCR testing?"", ""Does the image depict complications such as malnutrition or cardiac abnormalities?"", ""Is there something in the image indicating a genetic predisposition to the disease?""]"
edema,"[""What are the superclasses of edema in a pathological hierarchy?"", ""What types of cells or tissues are primarily affected by edema?"", ""Which biological processes or functions are disrupted in edema?"", ""What structural features or abnormalities are associated with edema?"", ""What causal factors or mechanisms lead to the development of edema?"", ""How does edema impact the normal functioning of the affected tissues or organs?"", ""What symptoms or clinical manifestations are commonly associated with edema?""]","[""The superclasses of edema include [Disease, Condition, Pathological State]."", ""Edema primarily affects [Cells, Tissues, Organs]."", ""Edema disrupts [Fluid Balance, Tissue Permeability, Lymphatic Drainage]."", ""Edema is characterized by [Swelling, Accumulation of Fluid, Increased Interstitial Pressure]."", ""Edema may result from [Increased Capillary Permeability, Decreased Oncotic Pressure, Impaired Lymphatic Drainage]."", ""Edema can impair [Tissue Oxygenation, Nutrient Exchange, Waste Removal]."", ""Edema commonly manifests as [Swollen Tissues, Pitting Edema, Effusion].""]","[""Is there an object in the image that disrupts fluid balance?"", ""Does the image contain a structure affected by impaired lymphatic drainage?"", ""Is there something in the image that impairs tissue oxygenation?"", ""Does the image show a condition characterized by swelling?"", ""Is the object responsible for increased capillary permeability?""]"
embolus,"[""What are the superclasses of Embolus in a pathological hierarchy?"", ""Which organ systems are typically affected by an Embolus?"", ""What types of cells or substances can cause an Embolus?"", ""What are the consequences or effects of an Embolus on blood circulation?"", ""How does an Embolus obstruct blood flow within a vessel?"", ""Which diseases or conditions are commonly associated with the presence of an Embolus?"", ""What data properties describe the size, shape, or composition of an Embolus?"", ""What axioms or logical definitions capture the pathological role of an Embolus in thrombosis or infarction?""]","[""The Embolus is classified under the superclasses [Pathological Entity, Blood Clot]."", ""The Embolus can affect organ systems such as [Cardiovascular System, Respiratory System]."", ""An Embolus can be caused by [Thrombus, Fat Globules, Air Bubbles]."", ""The presence of an Embolus leads to [Ischemia, Infarction, Organ Damage]."", ""An Embolus obstructs blood flow by [Blocking Vessels, Lodging in Capillaries]."", ""Diseases or conditions associated with an Embolus include [Deep Vein Thrombosis, Pulmonary Embolism, Stroke]."", ""Data properties of an Embolus include [Size, Shape, Composition, Origin]."", ""Axioms defining the role of an Embolus involve [Obstruction of Blood Flow, Thrombosis, Infarction].""]","[""Is there an object in the image that can cause blockage in blood vessels?"", ""Does the image contain something that is a type of blood clot?"", ""Is there something in the image that can lead to ischemia or infarction?"", ""Is the object responsible for obstructing blood flow by lodging in capillaries?"", ""Does the image contain a structure associated with deep vein thrombosis?""]"
endoscopic,"[""What is the superclass of endoscopic in a procedural hierarchy?"", ""Which medical specialties utilize endoscopic techniques?"", ""What types of examinations or surgeries are performed using endoscopic methods?"", ""What are the benefits of endoscopic procedures compared to open surgery?"", ""What instruments or devices are characteristic of endoscopy?"", ""What anatomical structures can be visualized during endoscopy?"", ""What safety considerations or risks are associated with endoscopic procedures?""]","[""The superclass of endoscopic in a procedural hierarchy is [Minimally Invasive Surgery]."", ""Endoscopic techniques are utilized in medical specialties such as [Gastroenterology, Urology, Gynecology]."", ""Examinations or surgeries performed using endoscopic methods include [Biopsy, Polypectomy, Stent Placement]."", ""Benefits of endoscopic procedures compared to open surgery include [Smaller Incisions, Reduced Pain, Faster Recovery]."", ""Characteristic instruments or devices of endoscopy are [Flexible Tube with Camera, Light Source, Surgical Tools]."", ""Anatomical structures visualized during endoscopy include [Esophagus, Bladder, Fallopian Tubes]."", ""Safety considerations or risks associated with endoscopic procedures include [Infection, Bleeding, Perforation].""]","[""Is there an object in the image that aids in minimally invasive surgical procedures?"", ""Does the image contain a device used in the field of gastroenterology?"", ""Is there something in the image that could be used to examine the esophagus?"", ""Is the object responsible for visualizing the bladder?"", ""Does the image contain a tool used for stent placement?""]"
esophagus,"[""What anatomical structures are directly connected to the esophagus?"", ""What functions does the esophagus have in the digestive system?"", ""What types of tissue compose the esophagus?"", ""How is the esophagus involved in swallowing?"", ""What diseases or conditions can affect the esophagus?"", ""What is the location of the esophagus within the body?""]","[""The esophagus is directly connected to anatomical structures such as [Pharynx, Stomach]."", ""The esophagus functions in the passage of food, transportation of nutrients, and muscular contraction during swallowing."", ""The esophagus is composed of tissues including [Mucosa, Submucosa, Muscularis]."", ""The esophagus is involved in the process of swallowing through peristalsis."", ""Diseases or conditions affecting the esophagus include [Esophagitis, Gastroesophageal Reflux Disease, Esophageal Cancer]."", ""The esophagus is located within the thoracic cavity, extending from the lower part of the neck to the cardiac end of the stomach.""]","[""Is there an object in the image that connects the pharynx and the stomach?"", ""Does the image contain a structure involved in the passage of food?"", ""Is there something in the image composed of mucosa and submucosa?"", ""Is the object responsible for muscular contractions during swallowing?"", ""Does the image contain a part of the gastrointestinal tract?""]"
esophagusis,"[""What are the superclasses of Esophagus within an anatomical hierarchy?"", ""Which organ systems include the Esophagus?"", ""What types of cells constitute the Esophagus?"", ""What biological functions does the Esophagus perform, such as transporting food?"", ""What structural features characterize the Esophagus\u2019s tubular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Esophagus?"", ""What organ interactions occur with the Esophagus in the digestive system?"", ""What data properties describe the Esophagus, for example, its length and diameter?"", ""What axioms define the Esophagus\u2019s role in digestion?""]","[""The Esophagus is classified under the superclasses [Organ, Tube]."", ""The Esophagus is part of the following organ systems [Digestive System]."", ""The Esophagus is composed of cell types such as [Squamous Epithelial Cells, Glandular Cells]."", ""The Esophagus performs biological functions including [Food Transport, Swallowing]."", ""The Esophagus is characterized by structural features such as [Tubular Structure, Smooth Muscle, Mucosa]."", ""The Esophagus is associated with enzymes and pathways like [None, as it mainly transports food]."", ""The Esophagus interacts with organs such as [Pharynx, Stomach]."", ""Descriptive properties of the Esophagus include [Length, Diameter, Muscularis]."", ""Axioms that define the Esophagus include roles in [Food Passage, Swallowing Reflex, Gastroesophageal Junction].""]","[""Does the image contain an object that transports food?"", ""Is there something in the image that belongs to the digestive system?"", ""Is the object composed of squamous epithelial cells?"", ""Does the image show a structure involved in swallowing?"", ""Is there an organ in the image characterized by a tubular structure?""]"
esophaguswhat,"[""What are the superclasses of Esophagus in an anatomical hierarchy?"", ""Which organ systems include the Esophagus?"", ""What types of cells constitute the Esophagus?"", ""What biological functions does the Esophagus perform, such as transportation of food?"", ""What structural features characterize the Esophagus\u2019s tubular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Esophagus?"", ""What organ interactions occur with the Esophagus in the digestive system?"", ""What data properties describe the Esophagus, for example, its length and diameter?"", ""What axioms define the Esophagus\u2019s role in digestion?""]","[""The Esophagus is classified under the superclasses [Organ, Tube]."", ""The Esophagus is part of the following organ systems [Digestive System]."", ""The Esophagus is composed of cell types such as [Squamous Epithelial Cells, Glandular Cells, Smooth Muscle Cells]."", ""The Esophagus performs biological functions including [Food Transportation, Swallowing]."", ""The Esophagus is characterized by structural features such as [Stratified Squamous Epithelium, Muscularis, Sphincters]."", ""The Esophagus is associated with enzymes and pathways like [None]."", ""The Esophagus interacts with organs such as [Pharynx, Stomach]."", ""Descriptive properties of the Esophagus include [Length, Diameter, Wall Layers]."", ""Axioms that define the Esophagus include roles in [Food Passage, Swallowing Reflex, Esophageal Motility].""]","[""Is there an object in the image that transports food from the mouth to the stomach?"", ""Does the image contain a structure that aids in swallowing?"", ""Is there something in the image with a stratified squamous epithelium?"", ""Is the object responsible for breaking down food?"", ""Does the image contain a part of the respiratory system?""]"
excellent,"[""What are the superclasses of excellent in a quality hierarchy?"", ""Which evaluation criteria include the term excellent?"", ""What types of attributes or characteristics make something excellent?"", ""What functions or processes does something excellent perform?"", ""What structural features indicate excellence?"", ""What types of relationships or associations are linked to excellence?"", ""What data properties describe something that is excellent?"", ""What axioms define the concept of excellence?""]","[""The term excellent is classified under the superclasses [Exceptional, High Quality]."", ""The term excellent is part of evaluation criteria such as [Performance Assessment, Quality Rating, Achievement Level]."", ""Something excellent is characterized by attributes such as [Superior Performance, Outstanding Achievement, Flawless Execution]."", ""Something excellent performs functions or processes including [Exceptional Skill, High Accuracy, Consistent Reliability]."", ""Structural features indicating excellence include [Flawless Design, Robust Construction, Attention to Detail]."", ""Excellence is associated with relationships or associations such as [High Achievement, Superior Quality, Outstanding Performance]."", ""Data properties that describe something excellent include [High Scores, Positive Feedback, Exceptional Results]."", ""Axioms that define excellence include [Consistently Meeting High Standards, Exceeding Expectations, Achieving Perfection].""]","[""Is there an object in the image that represents a high level of quality?"", ""Does the image contain something that signifies superior performance?"", ""Is there something in the image that demonstrates exceptional skill?"", ""Is the object characterized by flawless execution or attention to detail?"", ""Does the image contain a structure that indicates outstanding achievement or high accuracy?""]"
fat necrosis,"[""What are the superclasses of fat necrosis in a pathological hierarchy?"", ""Which disease or condition processes involve fat necrosis?"", ""What types of tissues or organs are commonly affected by fat necrosis?"", ""What biological mechanisms contribute to the development of fat necrosis?"", ""What structural features or characteristics are associated with fat necrosis?"", ""Which clinical manifestations or symptoms are associated with fat necrosis?"", ""What data properties describe the extent or severity of fat necrosis?"", ""What axioms or logical definitions capture the role of fat necrosis in tissue damage?""]","[""The superclasses of fat necrosis in a pathological hierarchy are [Cell Death, Necrosis]."", ""Fat necrosis is commonly associated with processes involving [Trauma, Surgery, Inflammatory Diseases]."", ""Fat necrosis typically affects tissues or organs such as [Adipose Tissue, Breast, Pancreas]."", ""Biological mechanisms contributing to fat necrosis include [Enzymatic Action, Ischemia, Inflammation]."", ""Structural features characteristic of fat necrosis are [Calcification, Cyst Formation, Fibrosis]."", ""Clinical manifestations or symptoms associated with fat necrosis can include [Pain, Swelling, Skin Changes]."", ""Data properties describing the extent or severity of fat necrosis may include [Size, Number of Lesions, Presence of Inflammation]."", ""Axioms defining the role of fat necrosis in tissue damage include [Impaired Function, Tissue Death, Inflammatory Response].""]","[""Is there an object in the image that results from enzymatic action and inflammation?"", ""Does the image contain a structure associated with the pathological process of cell death?"", ""Is there something in the image that could be indicative of tissue damage in adipose tissue?"", ""Is the object characterized by calcification and cyst formation?"", ""Does the image show signs of impaired function due to ischemia and inflammation?""]"
fat necrosishow,"[""What are the superclasses of fat necrosis in a pathological hierarchy?"", ""What types of tissues or organs are typically affected by fat necrosis?"", ""What are the causes or etiological factors leading to fat necrosis?"", ""What symptomatology or clinical manifestations are associated with fat necrosis?"", ""What histopathological features characterize fat necrosis at a microscopic level?"", ""What biochemical mechanisms underlie the process of fat necrosis?"", ""What differentiates fat necrosis from other similar conditions or differential diagnoses?"", ""What treatment options or interventions are commonly used for fat necrosis?"", ""How does fat necrosis impact the physiological function of affected tissues or organs?""]","[""The superclasses of fat necrosis in a pathological hierarchy include [Tissue Necrosis, Adipose Tissue Disorder]."", ""Fat necrosis typically affects tissues or organs such as [Breast, Abdomen, Buttocks]."", ""The causes or etiological factors of fat necrosis can include [Trauma, Surgery, Infection]."", ""Symptomatology associated with fat necrosis may include [Pain, Swelling, Skin Changes]."", ""Microscopically, fat necrosis is characterized by [Lipocyte Death, Inflammatory Response]."", ""The biochemical mechanisms underlying fat necrosis involve [Enzymatic Activity, Cell Membrane Disruption]."", ""Differentiating fat necrosis from similar conditions involves [Clinical History, Imaging Studies, Biopsy]."", ""Treatment options for fat necrosis may include [Conservative Management, Surgical Intervention]."", ""Fat necrosis can impact the physiological function of affected tissues or organs by [Impaired Adipose Tissue Function, Fibrosis, Chronic Pain].""]","[""Is there an object in the image that could indicate tissue necrosis?"", ""Does the image contain something associated with a disorder of adipose tissue?"", ""Is what is shown in the image linked to trauma or surgery?"", ""Could the object be connected to pain or swelling?"", ""Does the image show features consistent with the death of lipocytes?""]"
feet,"[""What are the anatomical superclasses of 'feet'?"", ""What are the structural components of 'feet'?"", ""How is 'feet' classified functionally in the skeletal system?"", ""What types of tissues or cells make up 'feet'?"", ""What biomechanical properties are characteristic of 'feet'?"", ""What role does 'feet' play in locomotion and balance?"", ""What are the physiological functions of 'feet' in relation to walking or running?"", ""How does 'feet' interact with other parts of the lower limb?"", ""What data properties describe the size, shape, or appearance of 'feet'?""]","[""The anatomical superclasses of 'feet' include [Lower Limb, Extremity]."", ""The structural components of 'feet' are [Bones, Joints, Ligaments, Tendons, Muscles]."", ""Functionally, 'feet' is classified as part of the [Skeletal System]."", ""The types of tissues or cells that make up 'feet' include [Bone, Cartilage, Skin, Nerves, Blood Vessels]."", ""Biomechanical properties characteristic of 'feet' include [Flexibility, Strength, Stability]."", ""The role of 'feet' in locomotion and balance is to provide [Support, Stability, Propulsion]."", ""The physiological functions of 'feet' in relation to walking or running include [Weight-Bearing, Shock Absorption, Push-off]."", ""'Feet' interacts with other parts of the lower limb through [Ankle Joint, Achilles Tendon, Plantar Fascia]."", ""Data properties that describe the size, shape, or appearance of 'feet' include [Length, Width, Arch Type, Footprint].""]","[""Is there an object in the image that provides support and stability?"", ""Does the image contain a structure made up of bones, joints, ligaments, tendons, and muscles?"", ""Is there something in the image that is classified as part of the skeletal system?"", ""Is the object responsible for weight-bearing and shock absorption during locomotion?"", ""Does the image contain a part of the lower limb involved in propulsion?""]"
foci,"[""What are the superclasses of Foci in a pathological hierarchy?"", ""Which disease mechanisms include Foci as a critical component?"", ""What types of cells or tissues are involved in the formation of Foci?"", ""What functional abnormalities or dysregulation characterize Foci?"", ""What structural features distinguish Foci from other pathological entities?"", ""Which molecular pathways or processes are typically associated with Foci?"", ""What organ systems or body regions are commonly affected by Foci?"", ""What data properties describe Foci, such as location or size?"", ""What axioms or logical definitions capture the role of Foci in disease manifestation?""]","[""The Foci is classified under the superclasses [Pathological Entity, Lesion]."", ""Foci are a critical component in disease mechanisms such as [Inflammation, Tumor Formation, Autoimmune Disorders]."", ""The formation of Foci involves cell types or tissues like [Neurons, Epithelial Cells, Immune Cells]."", ""Foci are characterized by functional abnormalities including [Impaired Signaling, Altered Growth, Dysregulated Cell Death]."", ""Structural features that distinguish Foci include [Clusters, Aggregates, Abnormal Cellular Arrangement]."", ""Foci are associated with molecular pathways or processes such as [JNK Signaling, p53 Pathway, NF-kB Activation]."", ""Foci commonly affect organ systems or body regions like [Central Nervous System, Respiratory System, Skin]."", ""Descriptive properties of Foci include [Location, Size, Shape, Color]."", ""Axioms that define the role of Foci in disease manifestation include [Initiation, Progression, Remission].""]","[""Is there an object in the image that could potentially cause inflammation?"", ""Does the image show a structure involved in tumor formation?"", ""Is there something in the image that could be part of the autoimmune disorder mechanism?"", ""Is the object characterized by impaired signaling?"", ""Does the image contain a lesion of the central nervous system?""]"
formation,"[""What are the superclasses of formation in an anatomical hierarchy?"", ""Which anatomical structures include formations?"", ""What types of tissues or organs constitute a formation?"", ""What biological functions does a formation perform?"", ""What structural features characterize the architecture of a formation?"", ""Which anatomical relationships occur between formations and other structures?"", ""What data properties describe a formation, such as its size or shape?"", ""What axioms define the role of a formation in the body?""]","[""The formation is classified under the superclasses [Tissue, Organ]."", ""Formations are part of anatomical structures such as [Nervous System, Musculoskeletal System]."", ""A formation is composed of tissues or organs like [Neurons, Muscle Fibers, Epithelial Cells]."", ""Formations perform biological functions including [Signal Transmission, Movement Facilitation, Protection]."", ""The architecture of a formation is characterized by features such as [Cellular Arrangement, Fiber Orientation, Vascular Supply]."", ""Formations have anatomical relationships with structures like [Bones, Blood Vessels, Nerves]."", ""Descriptive properties of a formation include [Size, Shape, Texture, Color]."", ""Axioms that define the role of a formation include functions in [Support, Stability, Coordination].""]",[]
gangrene,"[""What are the superclasses of gangrene in a pathological hierarchy?"", ""Which types of tissues or organs are commonly affected by gangrene?"", ""What causative agents or conditions lead to the development of gangrene?"", ""What are the characteristic clinical manifestations or symptoms of gangrene?"", ""What histological features distinguish gangrene from other necrotic conditions?"", ""What systemic effects or complications can arise from gangrene?"", ""What treatment modalities or interventions are typically employed for gangrene?"", ""What data properties describe the prevalence or incidence of gangrene?"", ""What axioms define the pathogenesis or progression of gangrene?""]","[""Gangrene is classified under the superclasses [Necrosis, Tissue Death]."", ""Gangrene commonly affects tissues or organs such as [Skin, Muscle, Intestines]."", ""Gangrene is often caused by factors like [Ischemia, Infection, Toxins]."", ""Characteristic clinical manifestations of gangrene include [Tissue Discoloration, Pain, Foul Odor]."", ""Gangrene is histologically characterized by features such as [Coagulative Necrosis, Putrefaction]."", ""Gangrene can lead to systemic effects or complications including [Sepsis, Organ Failure]."", ""Treatment for gangrene may involve interventions such as [Amputation, Antibiotics, Debridement]."", ""Data properties regarding gangrene include [Prevalence Rates, Mortality Rates, Risk Factors]."", ""Axioms that define the pathogenesis of gangrene include [Impaired Blood Supply, Bacterial Infection, Toxin Production].""]",[]
