class,questons,label
abnormality,Is there something in the image that is connected to the gallbladder?,1
abnormality,Does the image include a structure composed of lobules?,1
abnormality,Is there a part of the digestive system visible in the image?,1
abnormality,Is there an object in the image that produces insulin?,0
abnormality,Does the image contain a structure that regulates neurotransmitters?,0
abnormality,Is there something in the image that could be a spinal cord segment?,0
abnormality,Is the object responsible for pumping blood?,0
abnormality,Does the image contain a gland of the endocrine system?,0
abruption,Is there a structure in the image that might produce bile?,1
abruption,Does the image show an organ that could be involved in detoxifying substances?,1
abruption,Is there something in the image that is connected to the gallbladder?,1
abruption,Does the image include a structure composed of lobules?,1
abruption,Is there a part of the digestive system visible in the image?,1
abruption,Is there an object in the image that produces insulin?,0
abruption,Does the image contain a structure that regulates neurotransmitters?,0
abruption,Is there something in the image that could be a spinal cord segment?,0
abruption,Is the object responsible for pumping blood?,0
abruption,Does the image contain a gland of the endocrine system?,0
abstinence,Is there a structure in the image that might produce bile?,1
abstinence,Does the image show an organ that could be involved in detoxifying substances?,1
abstinence,Is there something in the image that is connected to the gallbladder?,1
abstinence,Does the image include a structure composed of lobules?,1
abstinence,Is there a part of the digestive system visible in the image?,1
abstinence,Is there an object in the image that produces insulin?,0
abstinence,Does the image contain a structure that regulates neurotransmitters?,0
abstinence,Is there something in the image that could be a spinal cord segment?,0
abstinence,Is the object responsible for pumping blood?,0
abstinence,Does the image contain a gland of the endocrine system?,0
abundant,Is there a structure in the image that might produce bile?,1
abundant,Does the image show an organ that could be involved in detoxifying substances?,1
abundant,Is there something in the image that is connected to the gallbladder?,1
abundant,Does the image include a structure composed of lobules?,1
abundant,Is there a part of the digestive system visible in the image?,1
abundant,Is there an object in the image that produces insulin?,0
abundant,Does the image contain a structure that regulates neurotransmitters?,0
abundant,Is there something in the image that could be a spinal cord segment?,0
abundant,Is the object responsible for pumping blood?,0
abundant,Does the image contain a gland of the endocrine system?,0
acid,Is there a structure in the image that might produce bile?,1
acid,Does the image show an organ that could be involved in detoxifying substances?,1
acid,Is there something in the image that is connected to the gallbladder?,1
acid,Does the image include a structure composed of lobules?,1
acid,Is there a part of the digestive system visible in the image?,1
acid,Is there an object in the image that produces insulin?,0
acid,Does the image contain a structure that regulates neurotransmitters?,0
acid,Is there something in the image that could be a spinal cord segment?,0
acid,Is the object responsible for pumping blood?,0
acid,Does the image contain a gland of the endocrine system?,0
acid fast,Is there a structure in the image that might produce bile?,1
acid fast,Does the image show an organ that could be involved in detoxifying substances?,1
acid fast,Is there something in the image that is connected to the gallbladder?,1
acid fast,Does the image include a structure composed of lobules?,1
acid fast,Is there a part of the digestive system visible in the image?,1
acid fast,Is there an object in the image that produces insulin?,0
acid fast,Does the image contain a structure that regulates neurotransmitters?,0
acid fast,Is there something in the image that could be a spinal cord segment?,0
acid fast,Is the object responsible for pumping blood?,0
acid fast,Does the image contain a gland of the endocrine system?,0
acinar tissue,Is there a structure in the image that might produce bile?,1
acinar tissue,Does the image show an organ that could be involved in detoxifying substances?,1
acinar tissue,Is there something in the image that is connected to the gallbladder?,1
acinar tissue,Does the image include a structure composed of lobules?,1
acinar tissue,Is there a part of the digestive system visible in the image?,1
acinar tissue,Is there an object in the image that produces insulin?,0
acinar tissue,Does the image contain a structure that regulates neurotransmitters?,0
acinar tissue,Is there something in the image that could be a spinal cord segment?,0
acinar tissue,Is the object responsible for pumping blood?,0
acinar tissue,Does the image contain a gland of the endocrine system?,0
acrocyanosis,Is there a structure in the image that might produce bile?,1
acrocyanosis,Does the image show an organ that could be involved in detoxifying substances?,1
acrocyanosis,Is there something in the image that is connected to the gallbladder?,1
acrocyanosis,Does the image include a structure composed of lobules?,1
acrocyanosis,Is there a part of the digestive system visible in the image?,1
acrocyanosis,Is there an object in the image that produces insulin?,0
acrocyanosis,Does the image contain a structure that regulates neurotransmitters?,0
acrocyanosis,Is there something in the image that could be a spinal cord segment?,0
acrocyanosis,Is the object responsible for pumping blood?,0
acrocyanosis,Does the image contain a gland of the endocrine system?,0
activation,Is there a structure in the image that might produce bile?,1
activation,Does the image show an organ that could be involved in detoxifying substances?,1
activation,Is there something in the image that is connected to the gallbladder?,1
activation,Does the image include a structure composed of lobules?,1
activation,Is there a part of the digestive system visible in the image?,1
activation,Is there an object in the image that produces insulin?,0
activation,Does the image contain a structure that regulates neurotransmitters?,0
activation,Is there something in the image that could be a spinal cord segment?,0
activation,Is the object responsible for pumping blood?,0
activation,Does the image contain a gland of the endocrine system?,0
acute,Is there a structure in the image that might produce bile?,1
acute,Does the image show an organ that could be involved in detoxifying substances?,1
acute,Is there something in the image that is connected to the gallbladder?,1
acute,Does the image include a structure composed of lobules?,1
acute,Is there a part of the digestive system visible in the image?,1
acute,Is there an object in the image that produces insulin?,0
acute,Does the image contain a structure that regulates neurotransmitters?,0
acute,Is there something in the image that could be a spinal cord segment?,0
acute,Is the object responsible for pumping blood?,0
acute,Does the image contain a gland of the endocrine system?,0
acute myelogenous leukemia,Is there a structure in the image that might produce bile?,1
acute myelogenous leukemia,Does the image show an organ that could be involved in detoxifying substances?,1
acute myelogenous leukemia,Is there something in the image that is connected to the gallbladder?,1
acute myelogenous leukemia,Does the image include a structure composed of lobules?,1
acute myelogenous leukemia,Is there a part of the digestive system visible in the image?,1
acute myelogenous leukemia,Is there an object in the image that produces insulin?,0
acute myelogenous leukemia,Does the image contain a structure that regulates neurotransmitters?,0
acute myelogenous leukemia,Is there something in the image that could be a spinal cord segment?,0
acute myelogenous leukemia,Is the object responsible for pumping blood?,0
acute myelogenous leukemia,Does the image contain a gland of the endocrine system?,0
acute myocardial infarction,Is there a structure in the image that might produce bile?,1
acute myocardial infarction,Does the image show an organ that could be involved in detoxifying substances?,1
acute myocardial infarction,Is there something in the image that is connected to the gallbladder?,1
acute myocardial infarction,Does the image include a structure composed of lobules?,1
acute myocardial infarction,Is there a part of the digestive system visible in the image?,1
acute myocardial infarction,Is there an object in the image that produces insulin?,0
acute myocardial infarction,Does the image contain a structure that regulates neurotransmitters?,0
acute myocardial infarction,Is there something in the image that could be a spinal cord segment?,0
acute myocardial infarction,Is the object responsible for pumping blood?,0
acute myocardial infarction,Does the image contain a gland of the endocrine system?,0
acute panarteritis,Is there a structure in the image that might produce bile?,1
acute panarteritis,Does the image show an organ that could be involved in detoxifying substances?,1
acute panarteritis,Is there something in the image that is connected to the gallbladder?,1
acute panarteritis,Does the image include a structure composed of lobules?,1
acute panarteritis,Is there a part of the digestive system visible in the image?,1
acute panarteritis,Is there an object in the image that produces insulin?,0
acute panarteritis,Does the image contain a structure that regulates neurotransmitters?,0
acute panarteritis,Is there something in the image that could be a spinal cord segment?,0
acute panarteritis,Is the object responsible for pumping blood?,0
acute panarteritis,Does the image contain a gland of the endocrine system?,0
acute posterior myocardial infarction,Is there a structure in the image that might produce bile?,1
acute posterior myocardial infarction,Does the image show an organ that could be involved in detoxifying substances?,1
acute posterior myocardial infarction,Is there something in the image that is connected to the gallbladder?,1
acute posterior myocardial infarction,Does the image include a structure composed of lobules?,1
acute posterior myocardial infarction,Is there a part of the digestive system visible in the image?,1
acute posterior myocardial infarction,Is there an object in the image that produces insulin?,0
acute posterior myocardial infarction,Does the image contain a structure that regulates neurotransmitters?,0
acute posterior myocardial infarction,Is there something in the image that could be a spinal cord segment?,0
acute posterior myocardial infarction,Is the object responsible for pumping blood?,0
acute posterior myocardial infarction,Does the image contain a gland of the endocrine system?,0
acute rejection,Is there a structure in the image that might produce bile?,1
acute rejection,Does the image show an organ that could be involved in detoxifying substances?,1
acute rejection,Is there something in the image that is connected to the gallbladder?,1
acute rejection,Does the image include a structure composed of lobules?,1
acute rejection,Is there a part of the digestive system visible in the image?,1
acute rejection,Is there an object in the image that produces insulin?,0
acute rejection,Does the image contain a structure that regulates neurotransmitters?,0
acute rejection,Is there something in the image that could be a spinal cord segment?,0
acute rejection,Is the object responsible for pumping blood?,0
acute rejection,Does the image contain a gland of the endocrine system?,0
acute rheumatic mitral valvulitis,Is there a structure in the image that might produce bile?,1
acute rheumatic mitral valvulitis,Does the image show an organ that could be involved in detoxifying substances?,1
acute rheumatic mitral valvulitis,Is there something in the image that is connected to the gallbladder?,1
acute rheumatic mitral valvulitis,Does the image include a structure composed of lobules?,1
acute rheumatic mitral valvulitis,Is there a part of the digestive system visible in the image?,1
acute rheumatic mitral valvulitis,Is there an object in the image that produces insulin?,0
acute rheumatic mitral valvulitis,Does the image contain a structure that regulates neurotransmitters?,0
acute rheumatic mitral valvulitis,Is there something in the image that could be a spinal cord segment?,0
acute rheumatic mitral valvulitis,Is the object responsible for pumping blood?,0
acute rheumatic mitral valvulitis,Does the image contain a gland of the endocrine system?,0
adenocarcinoma,Is there a structure in the image that might produce bile?,1
adenocarcinoma,Does the image show an organ that could be involved in detoxifying substances?,1
adenocarcinoma,Is there something in the image that is connected to the gallbladder?,1
adenocarcinoma,Does the image include a structure composed of lobules?,1
adenocarcinoma,Is there a part of the digestive system visible in the image?,1
adenocarcinoma,Is there an object in the image that produces insulin?,0
adenocarcinoma,Does the image contain a structure that regulates neurotransmitters?,0
adenocarcinoma,Is there something in the image that could be a spinal cord segment?,0
adenocarcinoma,Is the object responsible for pumping blood?,0
adenocarcinoma,Does the image contain a gland of the endocrine system?,0
adenoid cystic carcinoma,Is there a structure in the image that might produce bile?,1
adenoid cystic carcinoma,Does the image show an organ that could be involved in detoxifying substances?,1
adenoid cystic carcinoma,Is there something in the image that is connected to the gallbladder?,1
adenoid cystic carcinoma,Does the image include a structure composed of lobules?,1
adenoid cystic carcinoma,Is there a part of the digestive system visible in the image?,1
adenoid cystic carcinoma,Is there an object in the image that produces insulin?,0
adenoid cystic carcinoma,Does the image contain a structure that regulates neurotransmitters?,0
adenoid cystic carcinoma,Is there something in the image that could be a spinal cord segment?,0
adenoid cystic carcinoma,Is the object responsible for pumping blood?,0
adenoid cystic carcinoma,Does the image contain a gland of the endocrine system?,0
adenosis adenomyosis,Is there a structure in the image that might produce bile?,1
adenosis adenomyosis,Does the image show an organ that could be involved in detoxifying substances?,1
adenosis adenomyosis,Is there something in the image that is connected to the gallbladder?,1
adenosis adenomyosis,Does the image include a structure composed of lobules?,1
adenosis adenomyosis,Is there a part of the digestive system visible in the image?,1
adenosis adenomyosis,Is there an object in the image that produces insulin?,0
adenosis adenomyosis,Does the image contain a structure that regulates neurotransmitters?,0
adenosis adenomyosis,Is there something in the image that could be a spinal cord segment?,0
adenosis adenomyosis,Is the object responsible for pumping blood?,0
adenosis adenomyosis,Does the image contain a gland of the endocrine system?,0
adherent,Is there a structure in the image that might produce bile?,1
adherent,Does the image show an organ that could be involved in detoxifying substances?,1
adherent,Is there something in the image that is connected to the gallbladder?,1
adherent,Does the image include a structure composed of lobules?,1
adherent,Is there a part of the digestive system visible in the image?,1
adherent,Is there an object in the image that produces insulin?,0
adherent,Does the image contain a structure that regulates neurotransmitters?,0
adherent,Is there something in the image that could be a spinal cord segment?,0
adherent,Is the object responsible for pumping blood?,0
adherent,Does the image contain a gland of the endocrine system?,0
adhesive clusters,Is there a structure in the image that might produce bile?,1
adhesive clusters,Does the image show an organ that could be involved in detoxifying substances?,1
adhesive clusters,Is there something in the image that is connected to the gallbladder?,1
adhesive clusters,Does the image include a structure composed of lobules?,1
adhesive clusters,Is there a part of the digestive system visible in the image?,1
adhesive clusters,Is there an object in the image that produces insulin?,0
adhesive clusters,Does the image contain a structure that regulates neurotransmitters?,0
adhesive clusters,Is there something in the image that could be a spinal cord segment?,0
adhesive clusters,Is the object responsible for pumping blood?,0
adhesive clusters,Does the image contain a gland of the endocrine system?,0
adjacent,Is there a structure in the image that might produce bile?,1
adjacent,Does the image show an organ that could be involved in detoxifying substances?,1
adjacent,Is there something in the image that is connected to the gallbladder?,1
adjacent,Does the image include a structure composed of lobules?,1
adjacent,Is there a part of the digestive system visible in the image?,1
adjacent,Is there an object in the image that produces insulin?,0
adjacent,Does the image contain a structure that regulates neurotransmitters?,0
adjacent,Is there something in the image that could be a spinal cord segment?,0
adjacent,Is the object responsible for pumping blood?,0
adjacent,Does the image contain a gland of the endocrine system?,0
admixed,Is there a structure in the image that might produce bile?,1
admixed,Does the image show an organ that could be involved in detoxifying substances?,1
admixed,Is there something in the image that is connected to the gallbladder?,1
admixed,Does the image include a structure composed of lobules?,1
admixed,Is there a part of the digestive system visible in the image?,1
admixed,Is there an object in the image that produces insulin?,0
admixed,Does the image contain a structure that regulates neurotransmitters?,0
admixed,Is there something in the image that could be a spinal cord segment?,0
admixed,Is the object responsible for pumping blood?,0
admixed,Does the image contain a gland of the endocrine system?,0
adrenal,Is there a structure in the image that might produce bile?,1
adrenal,Does the image show an organ that could be involved in detoxifying substances?,1
adrenal,Is there something in the image that is connected to the gallbladder?,1
adrenal,Does the image include a structure composed of lobules?,1
adrenal,Is there a part of the digestive system visible in the image?,1
adrenal,Is there an object in the image that produces insulin?,0
adrenal,Does the image contain a structure that regulates neurotransmitters?,0
adrenal,Is there something in the image that could be a spinal cord segment?,0
adrenal,Is the object responsible for pumping blood?,0
adrenal,Does the image contain a gland of the endocrine system?,0
adrenal gland,Is there a structure in the image that might produce bile?,1
adrenal gland,Does the image show an organ that could be involved in detoxifying substances?,1
adrenal gland,Is there something in the image that is connected to the gallbladder?,1
adrenal gland,Does the image include a structure composed of lobules?,1
adrenal gland,Is there a part of the digestive system visible in the image?,1
adrenal gland,Is there an object in the image that produces insulin?,0
adrenal gland,Does the image contain a structure that regulates neurotransmitters?,0
adrenal gland,Is there something in the image that could be a spinal cord segment?,0
adrenal gland,Is the object responsible for pumping blood?,0
adrenal gland,Does the image contain a gland of the endocrine system?,0
adrenals focal hemorrhagic infarction,Is there a structure in the image that might produce bile?,1
adrenals focal hemorrhagic infarction,Does the image show an organ that could be involved in detoxifying substances?,1
adrenals focal hemorrhagic infarction,Is there something in the image that is connected to the gallbladder?,1
adrenals focal hemorrhagic infarction,Does the image include a structure composed of lobules?,1
adrenals focal hemorrhagic infarction,Is there a part of the digestive system visible in the image?,1
adrenals focal hemorrhagic infarction,Is there an object in the image that produces insulin?,0
adrenals focal hemorrhagic infarction,Does the image contain a structure that regulates neurotransmitters?,0
adrenals focal hemorrhagic infarction,Is there something in the image that could be a spinal cord segment?,0
adrenals focal hemorrhagic infarction,Is the object responsible for pumping blood?,0
adrenals focal hemorrhagic infarction,Does the image contain a gland of the endocrine system?,0
age,Is there a structure in the image that might produce bile?,1
age,Does the image show an organ that could be involved in detoxifying substances?,1
age,Is there something in the image that is connected to the gallbladder?,1
age,Does the image include a structure composed of lobules?,1
age,Is there a part of the digestive system visible in the image?,1
age,Is there an object in the image that produces insulin?,0
age,Does the image contain a structure that regulates neurotransmitters?,0
age,Is there something in the image that could be a spinal cord segment?,0
age,Is the object responsible for pumping blood?,0
age,Does the image contain a gland of the endocrine system?,0
alcohol use,Is there a structure in the image that might produce bile?,1
alcohol use,Does the image show an organ that could be involved in detoxifying substances?,1
alcohol use,Is there something in the image that is connected to the gallbladder?,1
alcohol use,Does the image include a structure composed of lobules?,1
alcohol use,Is there a part of the digestive system visible in the image?,1
alcohol use,Is there an object in the image that produces insulin?,0
alcohol use,Does the image contain a structure that regulates neurotransmitters?,0
alcohol use,Is there something in the image that could be a spinal cord segment?,0
alcohol use,Is the object responsible for pumping blood?,0
alcohol use,Does the image contain a gland of the endocrine system?,0
aldactone bodies,Is there a structure in the image that might produce bile?,1
aldactone bodies,Does the image show an organ that could be involved in detoxifying substances?,1
aldactone bodies,Is there something in the image that is connected to the gallbladder?,1
aldactone bodies,Does the image include a structure composed of lobules?,1
aldactone bodies,Is there a part of the digestive system visible in the image?,1
aldactone bodies,Is there an object in the image that produces insulin?,0
aldactone bodies,Does the image contain a structure that regulates neurotransmitters?,0
aldactone bodies,Is there something in the image that could be a spinal cord segment?,0
aldactone bodies,Is the object responsible for pumping blood?,0
aldactone bodies,Does the image contain a gland of the endocrine system?,0
alpha-1,Is there a structure in the image that might produce bile?,1
alpha-1,Does the image show an organ that could be involved in detoxifying substances?,1
alpha-1,Is there something in the image that is connected to the gallbladder?,1
alpha-1,Does the image include a structure composed of lobules?,1
alpha-1,Is there a part of the digestive system visible in the image?,1
alpha-1,Is there an object in the image that produces insulin?,0
alpha-1,Does the image contain a structure that regulates neurotransmitters?,0
alpha-1,Is there something in the image that could be a spinal cord segment?,0
alpha-1,Is the object responsible for pumping blood?,0
alpha-1,Does the image contain a gland of the endocrine system?,0
alpha-1 antitrypsin deficiency,Is there a structure in the image that might produce bile?,1
alpha-1 antitrypsin deficiency,Does the image show an organ that could be involved in detoxifying substances?,1
alpha-1 antitrypsin deficiency,Is there something in the image that is connected to the gallbladder?,1
alpha-1 antitrypsin deficiency,Does the image include a structure composed of lobules?,1
alpha-1 antitrypsin deficiency,Is there a part of the digestive system visible in the image?,1
alpha-1 antitrypsin deficiency,Is there an object in the image that produces insulin?,0
alpha-1 antitrypsin deficiency,Does the image contain a structure that regulates neurotransmitters?,0
alpha-1 antitrypsin deficiency,Is there something in the image that could be a spinal cord segment?,0
alpha-1 antitrypsin deficiency,Is the object responsible for pumping blood?,0
alpha-1 antitrypsin deficiency,Does the image contain a gland of the endocrine system?,0
alveolar,Is there a structure in the image that might produce bile?,1
alveolar,Does the image show an organ that could be involved in detoxifying substances?,1
alveolar,Is there something in the image that is connected to the gallbladder?,1
alveolar,Does the image include a structure composed of lobules?,1
alveolar,Is there a part of the digestive system visible in the image?,1
alveolar,Is there an object in the image that produces insulin?,0
alveolar,Does the image contain a structure that regulates neurotransmitters?,0
alveolar,Is there something in the image that could be a spinal cord segment?,0
alveolar,Is the object responsible for pumping blood?,0
alveolar,Does the image contain a gland of the endocrine system?,0
alveolar damage,Is there a structure in the image that might produce bile?,1
alveolar damage,Does the image show an organ that could be involved in detoxifying substances?,1
alveolar damage,Is there something in the image that is connected to the gallbladder?,1
alveolar damage,Does the image include a structure composed of lobules?,1
alveolar damage,Is there a part of the digestive system visible in the image?,1
alveolar damage,Is there an object in the image that produces insulin?,0
alveolar damage,Does the image contain a structure that regulates neurotransmitters?,0
alveolar damage,Is there something in the image that could be a spinal cord segment?,0
alveolar damage,Is the object responsible for pumping blood?,0
alveolar damage,Does the image contain a gland of the endocrine system?,0
alveolar septa,Is there a structure in the image that might produce bile?,1
alveolar septa,Does the image show an organ that could be involved in detoxifying substances?,1
alveolar septa,Is there something in the image that is connected to the gallbladder?,1
alveolar septa,Does the image include a structure composed of lobules?,1
alveolar septa,Is there a part of the digestive system visible in the image?,1
alveolar septa,Is there an object in the image that produces insulin?,0
alveolar septa,Does the image contain a structure that regulates neurotransmitters?,0
alveolar septa,Is there something in the image that could be a spinal cord segment?,0
alveolar septa,Is the object responsible for pumping blood?,0
alveolar septa,Does the image contain a gland of the endocrine system?,0
alveoli,Is there a structure in the image that might produce bile?,1
alveoli,Does the image show an organ that could be involved in detoxifying substances?,1
alveoli,Is there something in the image that is connected to the gallbladder?,1
alveoli,Does the image include a structure composed of lobules?,1
alveoli,Is there a part of the digestive system visible in the image?,1
alveoli,Is there an object in the image that produces insulin?,0
alveoli,Does the image contain a structure that regulates neurotransmitters?,0
alveoli,Is there something in the image that could be a spinal cord segment?,0
alveoli,Is the object responsible for pumping blood?,0
alveoli,Does the image contain a gland of the endocrine system?,0
amebiasis,Is there a structure in the image that might produce bile?,1
amebiasis,Does the image show an organ that could be involved in detoxifying substances?,1
amebiasis,Is there something in the image that is connected to the gallbladder?,1
amebiasis,Does the image include a structure composed of lobules?,1
amebiasis,Is there a part of the digestive system visible in the image?,1
amebiasis,Is there an object in the image that produces insulin?,0
amebiasis,Does the image contain a structure that regulates neurotransmitters?,0
amebiasis,Is there something in the image that could be a spinal cord segment?,0
amebiasis,Is the object responsible for pumping blood?,0
amebiasis,Does the image contain a gland of the endocrine system?,0
ameloblastic fibroma,Is there a structure in the image that might produce bile?,1
ameloblastic fibroma,Does the image show an organ that could be involved in detoxifying substances?,1
ameloblastic fibroma,Is there something in the image that is connected to the gallbladder?,1
ameloblastic fibroma,Does the image include a structure composed of lobules?,1
ameloblastic fibroma,Is there a part of the digestive system visible in the image?,1
ameloblastic fibroma,Is there an object in the image that produces insulin?,0
ameloblastic fibroma,Does the image contain a structure that regulates neurotransmitters?,0
ameloblastic fibroma,Is there something in the image that could be a spinal cord segment?,0
ameloblastic fibroma,Is the object responsible for pumping blood?,0
ameloblastic fibroma,Does the image contain a gland of the endocrine system?,0
amniotic sac,Is there a structure in the image that might produce bile?,1
amniotic sac,Does the image show an organ that could be involved in detoxifying substances?,1
amniotic sac,Is there something in the image that is connected to the gallbladder?,1
amniotic sac,Does the image include a structure composed of lobules?,1
amniotic sac,Is there a part of the digestive system visible in the image?,1
amniotic sac,Is there an object in the image that produces insulin?,0
amniotic sac,Does the image contain a structure that regulates neurotransmitters?,0
amniotic sac,Is there something in the image that could be a spinal cord segment?,0
amniotic sac,Is the object responsible for pumping blood?,0
amniotic sac,Does the image contain a gland of the endocrine system?,0
amoebic ulcer,Is there a structure in the image that might produce bile?,1
amoebic ulcer,Does the image show an organ that could be involved in detoxifying substances?,1
amoebic ulcer,Is there something in the image that is connected to the gallbladder?,1
amoebic ulcer,Does the image include a structure composed of lobules?,1
amoebic ulcer,Is there a part of the digestive system visible in the image?,1
amoebic ulcer,Is there an object in the image that produces insulin?,0
amoebic ulcer,Does the image contain a structure that regulates neurotransmitters?,0
amoebic ulcer,Is there something in the image that could be a spinal cord segment?,0
amoebic ulcer,Is the object responsible for pumping blood?,0
amoebic ulcer,Does the image contain a gland of the endocrine system?,0
amplified,Is there a structure in the image that might produce bile?,1
amplified,Does the image show an organ that could be involved in detoxifying substances?,1
amplified,Is there something in the image that is connected to the gallbladder?,1
amplified,Does the image include a structure composed of lobules?,1
amplified,Is there a part of the digestive system visible in the image?,1
amplified,Is there an object in the image that produces insulin?,0
amplified,Does the image contain a structure that regulates neurotransmitters?,0
amplified,Is there something in the image that could be a spinal cord segment?,0
amplified,Is the object responsible for pumping blood?,0
amplified,Does the image contain a gland of the endocrine system?,0
amputation,Is there a structure in the image that might produce bile?,1
amputation,Does the image show an organ that could be involved in detoxifying substances?,1
amputation,Is there something in the image that is connected to the gallbladder?,1
amputation,Does the image include a structure composed of lobules?,1
amputation,Is there a part of the digestive system visible in the image?,1
amputation,Is there an object in the image that produces insulin?,0
amputation,Does the image contain a structure that regulates neurotransmitters?,0
amputation,Is there something in the image that could be a spinal cord segment?,0
amputation,Is the object responsible for pumping blood?,0
amputation,Does the image contain a gland of the endocrine system?,0
amyloid,Is there a structure in the image that might produce bile?,1
amyloid,Does the image show an organ that could be involved in detoxifying substances?,1
amyloid,Is there something in the image that is connected to the gallbladder?,1
amyloid,Does the image include a structure composed of lobules?,1
amyloid,Is there a part of the digestive system visible in the image?,1
amyloid,Is there an object in the image that produces insulin?,0
amyloid,Does the image contain a structure that regulates neurotransmitters?,0
amyloid,Is there something in the image that could be a spinal cord segment?,0
amyloid,Is the object responsible for pumping blood?,0
amyloid,Does the image contain a gland of the endocrine system?,0
anaplastic carcinoma,Is there a structure in the image that might produce bile?,1
anaplastic carcinoma,Does the image show an organ that could be involved in detoxifying substances?,1
anaplastic carcinoma,Is there something in the image that is connected to the gallbladder?,1
anaplastic carcinoma,Does the image include a structure composed of lobules?,1
anaplastic carcinoma,Is there a part of the digestive system visible in the image?,1
anaplastic carcinoma,Is there an object in the image that produces insulin?,0
anaplastic carcinoma,Does the image contain a structure that regulates neurotransmitters?,0
anaplastic carcinoma,Is there something in the image that could be a spinal cord segment?,0
anaplastic carcinoma,Is the object responsible for pumping blood?,0
anaplastic carcinoma,Does the image contain a gland of the endocrine system?,0
anencephaly,Is there a structure in the image that might produce bile?,1
anencephaly,Does the image show an organ that could be involved in detoxifying substances?,1
anencephaly,Is there something in the image that is connected to the gallbladder?,1
anencephaly,Does the image include a structure composed of lobules?,1
anencephaly,Is there a part of the digestive system visible in the image?,1
anencephaly,Is there an object in the image that produces insulin?,0
anencephaly,Does the image contain a structure that regulates neurotransmitters?,0
anencephaly,Is there something in the image that could be a spinal cord segment?,0
anencephaly,Is the object responsible for pumping blood?,0
anencephaly,Does the image contain a gland of the endocrine system?,0
aneurysm,Is there a structure in the image that might produce bile?,1
aneurysm,Does the image show an organ that could be involved in detoxifying substances?,1
aneurysm,Is there something in the image that is connected to the gallbladder?,1
aneurysm,Does the image include a structure composed of lobules?,1
aneurysm,Is there a part of the digestive system visible in the image?,1
aneurysm,Is there an object in the image that produces insulin?,0
aneurysm,Does the image contain a structure that regulates neurotransmitters?,0
aneurysm,Is there something in the image that could be a spinal cord segment?,0
aneurysm,Is the object responsible for pumping blood?,0
aneurysm,Does the image contain a gland of the endocrine system?,0
angiogram,Is there a structure in the image that might produce bile?,1
angiogram,Does the image show an organ that could be involved in detoxifying substances?,1
angiogram,Is there something in the image that is connected to the gallbladder?,1
angiogram,Does the image include a structure composed of lobules?,1
angiogram,Is there a part of the digestive system visible in the image?,1
angiogram,Is there an object in the image that produces insulin?,0
angiogram,Does the image contain a structure that regulates neurotransmitters?,0
angiogram,Is there something in the image that could be a spinal cord segment?,0
angiogram,Is the object responsible for pumping blood?,0
angiogram,Does the image contain a gland of the endocrine system?,0
anomalous,Is there a structure in the image that might produce bile?,1
anomalous,Does the image show an organ that could be involved in detoxifying substances?,1
anomalous,Is there something in the image that is connected to the gallbladder?,1
anomalous,Does the image include a structure composed of lobules?,1
anomalous,Is there a part of the digestive system visible in the image?,1
anomalous,Is there an object in the image that produces insulin?,0
anomalous,Does the image contain a structure that regulates neurotransmitters?,0
